Disease Name,TreeNumber
Sialorrhea,C07.465.815.815
Sick Sinus Syndrome,C14.280.067.093.249
Sick Sinus Syndrome,C14.280.067.558.536
Sick Sinus Syndrome,C14.280.123.500.536
Sick Sinus Syndrome,C23.550.073.093.249
Sick Sinus Syndrome,C23.550.073.425.440
Sickle Cell Trait,C15.378.050.141.150.150.670
Sickle Cell Trait,C15.378.420.155.668
Sickle Cell Trait,C16.320.070.150.670
Sickle Cell Trait,C16.320.365.155.668
Siderosis,C08.381.483.581.750
Siderosis,C08.381.520.702.750
Siderosis,C24.800.773
Sigmoid Diseases,C06.405.469.158.850
Sigmoid Neoplasms,C04.588.274.476.411.307.180.800
Sigmoid Neoplasms,C06.301.371.411.307.180.800
Sigmoid Neoplasms,C06.405.249.411.307.180.800
Sigmoid Neoplasms,C06.405.469.158.356.180.800
Sigmoid Neoplasms,C06.405.469.158.850.850
Sigmoid Neoplasms,C06.405.469.491.307.180.800
Signs and Symptoms,C23.888
"Signs and Symptoms, Digestive",C23.888.821
"Signs and Symptoms, Respiratory",C23.888.852
Silicosis,C08.381.483.581.760
Silicosis,C08.381.520.702.760
Silicosis,C24.800.834
Silicotuberculosis,C01.150.252.410.040.552.846.899.669
Silicotuberculosis,C01.748.939.669
Silicotuberculosis,C08.381.483.581.760.750
Silicotuberculosis,C08.381.520.702.760.750
Silicotuberculosis,C08.381.922.669
Silicotuberculosis,C08.730.939.669
Silicotuberculosis,C24.800.834.752
Silo Filler's Disease,C08.381.483.125.682
Silo Filler's Disease,C24.080.752
Sinoatrial Block,C14.280.067.558.750
Sinoatrial Block,C14.280.123.500.750
Sinoatrial Block,C23.550.073.425.780
"Sinus Thrombosis, Intracranial",C10.228.140.300.525.425.500
"Sinus Thrombosis, Intracranial",C14.907.253.566.350.500
"Sinus Thrombosis, Intracranial",C14.907.355.590.213.350.500
Sinusitis,C01.748.749
Sinusitis,C08.460.692.752
Sinusitis,C08.730.749
Sinusitis,C09.603.692.752
Situs Inversus,C16.131.810
Sjogren's Syndrome,C05.550.114.154.774
Sjogren's Syndrome,C05.799.114.774
Sjogren's Syndrome,C07.465.815.929.669
Sjogren's Syndrome,C11.496.260.719
Sjogren's Syndrome,C17.300.775.099.774
Sjogren's Syndrome,C20.111.199.774
Skin Abnormalities,C16.131.831
Skin Abnormalities,C17.800.804
Skin Diseases,C17.800
"Skin Diseases, Vesiculobullous",C17.800.865
"Skin Diseases, Genetic",C16.320.850
"Skin Diseases, Genetic",C17.800.827
"Skin Diseases, Infectious",C01.800
"Skin Diseases, Infectious",C17.800.838
"Skin Diseases, Metabolic",C17.800.849
"Skin Diseases, Metabolic",C18.452.880
"Skin Diseases, Parasitic",C01.610.858
"Skin Diseases, Parasitic",C17.800.838.775
Skin Manifestations,C23.888.885
Skin Neoplasms,C04.588.805
Skin Neoplasms,C17.800.882
Skin Ulcer,C17.800.893
Skull Fractures,C10.900.300.918
Skull Fractures,C26.404.750
Skull Fractures,C26.915.300.745
Skull Neoplasms,C04.588.149.721
Skull Neoplasms,C05.116.231.754
Sleep Apnea Syndromes,C08.618.085.852
Sleep Apnea Syndromes,C10.886.425.800.750
Sleep Deprivation,C10.886.425.175
Sleep Deprivation,C23.888.592.796.772
Sleep Wake Disorders,C10.886
Sleep Wake Disorders,C23.888.592.796
Slow Virus Diseases,C01.925.839
Smallpox,C01.925.256.743.826
Snake Bites,C25.723.127.442
Snake Bites,C26.176.724
Sneezing,C23.888.852.889
Snoring,C23.888.852.779.850
Soft Tissue Neoplasms,C04.588.839
Somatostatinoma,C04.557.465.625.650.240.695
Somatostatinoma,C04.557.470.200.025.370.695
Somatostatinoma,C04.588.274.761.500.500
Somatostatinoma,C04.588.322.475.500.500
Somatostatinoma,C06.301.761.500.500
Somatostatinoma,C06.689.667.500.500
Somatostatinoma,C19.344.421.500.500
Somnambulism,C10.886.659.635.700
Sparganosis,C01.610.335.190.304.780
Spasm,C10.597.613.750
Spasm,C23.888.592.608.750
"Spasms, Infantile",C10.228.140.490.375.760
"Spasms, Infantile",C10.228.140.490.493.875
Speech Disorders,C10.597.606.150.500.800
Speech Disorders,C23.888.592.604.150.500.800
Spermatic Cord Torsion,C12.100.500.693
Spermatic Cord Torsion,C12.200.294.693
Spermatocele,C12.100.500.731
Spermatocele,C12.200.294.731
Spermatocele,C23.300.306.750
"Spherocytosis, Hereditary",C15.378.050.141.150.785
"Spherocytosis, Hereditary",C16.320.070.785
Sphingolipidoses,C10.228.140.163.100.435.825
Sphingolipidoses,C16.320.565.189.435.825
Sphingolipidoses,C16.320.565.398.641.803
Sphingolipidoses,C16.320.565.595.554.825
Sphingolipidoses,C18.452.132.100.435.825
Sphingolipidoses,C18.452.584.563.641.803
Sphingolipidoses,C18.452.648.189.435.825
Sphingolipidoses,C18.452.648.398.641.803
Sphingolipidoses,C18.452.648.595.554.825
Spinal Cord Compression,C10.228.854.761
Spinal Cord Compression,C26.819.678
Spinal Cord Diseases,C10.228.854
Spinal Cord Injuries,C10.228.854.763
Spinal Cord Injuries,C10.900.850
Spinal Cord Injuries,C26.819
Spinal Cord Neoplasms,C04.588.614.250.803
Spinal Cord Neoplasms,C10.228.854.765
Spinal Cord Neoplasms,C10.551.240.750
Spinal Curvatures,C05.116.900.800
Spinal Diseases,C05.116.900
Spinal Injuries,C26.117.500
Spinal Neoplasms,C04.588.149.828
Spinal Neoplasms,C05.116.231.828
Spinal Neoplasms,C05.116.900.801
Spinal Osteophytosis,C05.116.900.815
Spinal Stenosis,C05.116.900.825
Spinocerebellar Degenerations,C10.228.140.252.700
Spinocerebellar Degenerations,C10.228.854.787
Spinocerebellar Degenerations,C10.574.500.825
Spinocerebellar Degenerations,C16.320.400.780
Spirochaetales Infections,C01.150.252.400.794
Splenic Diseases,C15.604.744
Splenic Infarction,C14.907.795
Splenic Infarction,C15.604.744.617
Splenic Infarction,C23.550.513.355.937
Splenic Infarction,C23.550.717.489.937
Splenic Neoplasms,C04.588.842
Splenic Neoplasms,C15.604.744.680
Splenic Rupture,C15.604.744.742
Splenic Rupture,C26.017.680
Splenic Rupture,C26.761.555
Splenomegaly,C23.300.775.750
Spondylitis,C01.160.762
Spondylitis,C05.116.165.762
Spondylitis,C05.116.900.853
"Spondylitis, Ankylosing",C05.116.900.853.625.800.744.500
"Spondylitis, Ankylosing",C05.550.069.340.500
"Spondylitis, Ankylosing",C05.550.114.865.800.744.500
Spondylolisthesis,C05.116.900.938.500.500
Spondylolysis,C05.116.900.938.500
Sporotrichosis,C01.150.703.302.675
Sporotrichosis,C01.800.200.675
Sporotrichosis,C17.800.838.208.675
Sprains and Strains,C26.844
"Sprue, Tropical",C06.405.469.637.850
"Sprue, Tropical",C18.452.603.850
Staphylococcal Food Poisoning,C01.150.252.410.868.806
Staphylococcal Food Poisoning,C25.723.415.846
Staphylococcal Infections,C01.150.252.410.868
Staphylococcal Scalded Skin Syndrome,C01.150.252.410.868.951.770
Staphylococcal Scalded Skin Syndrome,C01.150.252.819.770.770
Staphylococcal Scalded Skin Syndrome,C01.800.720.770.770
Staphylococcal Scalded Skin Syndrome,C17.800.838.765.770.770
Staphylococcal Skin Infections,C01.150.252.410.868.951
Staphylococcal Skin Infections,C01.150.252.819.770
Staphylococcal Skin Infections,C01.800.720.770
Staphylococcal Skin Infections,C17.800.838.765.770
Starvation,C18.654.521.750
Status Asthmaticus,C08.127.108.880
Status Asthmaticus,C08.674.095.880
Status Asthmaticus,C20.543.480.680.095.880
Status Epilepticus,C10.597.742.785
Status Epilepticus,C23.888.592.742.785
Steatitis,C18.654.521.500.133.841.682
Steatitis,C22.880
Stevens-Johnson Syndrome,C07.465.864.500
Stevens-Johnson Syndrome,C17.800.174.600.900
Stevens-Johnson Syndrome,C17.800.229.400.683
Stevens-Johnson Syndrome,C17.800.865.475.683
Stevens-Johnson Syndrome,C20.543.418.787
Stevens-Johnson Syndrome,C25.100.468.380.900
Gastric Dilatation,C06.405.748.300
Stomach Diseases,C06.405.748
"Diverticulum, Stomach",C06.405.205.282.750.687
"Diverticulum, Stomach",C23.300.415.687
Stomach Neoplasms,C04.588.274.476.767
Stomach Neoplasms,C06.301.371.767
Stomach Neoplasms,C06.405.249.767
Stomach Neoplasms,C06.405.748.789
Stomach Rupture,C06.405.748.824
Stomach Rupture,C26.017.809
Stomach Rupture,C26.761.684
Stomach Ulcer,C06.405.469.275.800.849
Stomach Ulcer,C06.405.748.586.849
Stomach Volvulus,C06.405.748.895
Stomatitis,C07.465.864
"Stomatitis, Aphthous",C07.465.864.750
"Stomatitis, Denture",C07.465.864.875
"Stomatitis, Herpetic",C01.925.256.466.382.834
"Stomatitis, Herpetic",C07.465.864.937
Strabismus,C10.292.562.887
Strabismus,C11.590.810
Streptococcal Infections,C01.150.252.410.890
"Strongyle Infections, Equine",C01.610.335.349.840
"Strongyle Infections, Equine",C01.610.335.508.700.775.773
"Strongyle Infections, Equine",C01.610.701.377.840
"Strongyle Infections, Equine",C22.488.861
"Strongyle Infections, Equine",C22.674.377.840
Strongyloidiasis,C01.610.335.508.700.700.799
Struma Ovarii,C04.557.465.910.850
Sturge-Weber Syndrome,C04.557.645.375.850
Sturge-Weber Syndrome,C10.562.800
Sturge-Weber Syndrome,C14.907.077.850
Stuttering,C10.597.606.150.500.800.750
Stuttering,C23.888.592.604.150.500.800.750
Subacute Sclerosing Panencephalitis,C01.207.245.340.600
Subacute Sclerosing Panencephalitis,C01.207.399.750.600
Subacute Sclerosing Panencephalitis,C01.925.182.525.600
Subacute Sclerosing Panencephalitis,C01.925.782.580.600.500.500.800
Subacute Sclerosing Panencephalitis,C01.925.839.862
Subacute Sclerosing Panencephalitis,C10.228.140.430.520.750.600
Subacute Sclerosing Panencephalitis,C10.228.228.245.340.600
Subacute Sclerosing Panencephalitis,C10.228.228.399.750.600
Subacute Sclerosing Panencephalitis,C10.586.250.520.750.600
Subarachnoid Hemorrhage,C10.228.140.300.535.800
Subarachnoid Hemorrhage,C14.907.253.573.800
Subarachnoid Hemorrhage,C23.550.414.913.850
Subclavian Steal Syndrome,C10.228.140.300.150.956.700
Subclavian Steal Syndrome,C14.907.253.092.956.700
Subcutaneous Emphysema,C23.550.325.500
Subdural Effusion,C01.207.709.675
Subdural Effusion,C10.228.140.870
Subdural Effusion,C10.228.228.709.675
"Empyema, Subdural",C01.207.709.300
"Empyema, Subdural",C01.830.305.330
"Empyema, Subdural",C10.228.228.709.300
"Empyema, Subdural",C23.550.470.756.305.500
Sublingual Gland Neoplasms,C04.588.443.591.824.882
Sublingual Gland Neoplasms,C07.465.530.824.882
Sublingual Gland Neoplasms,C07.465.815.718.870
Submandibular Gland Diseases,C07.465.815.882
Submandibular Gland Neoplasms,C04.588.443.591.824.885
Submandibular Gland Neoplasms,C07.465.530.824.885
Submandibular Gland Neoplasms,C07.465.815.718.885
Submandibular Gland Neoplasms,C07.465.815.882.500
Subphrenic Abscess,C01.463.600.500
Subphrenic Abscess,C01.830.025.020.810
Subphrenic Abscess,C06.844.640.500
Substance Withdrawal Syndrome,C25.775.835
Sudden Infant Death,C23.550.260.322.625
Sudden Infant Death,C23.550.260.657.500
Sulfhemoglobinemia,C15.378.896
Sunburn,C17.800.600.725
Sunburn,C26.200.855
Sunstroke,C26.522.500.500
Superior Mesenteric Artery Syndrome,C06.405.469.275.395.890
Superior Vena Cava Syndrome,C14.907.800
Suppuration,C01.830
Suppuration,C23.550.470.756
"Supranuclear Palsy, Progressive",C10.228.140.079.882
"Supranuclear Palsy, Progressive",C10.228.662.700
"Supranuclear Palsy, Progressive",C10.292.562.750.500
"Supranuclear Palsy, Progressive",C10.574.945.500
"Supranuclear Palsy, Progressive",C10.597.622.447.690
"Supranuclear Palsy, Progressive",C11.590.472.500
"Supranuclear Palsy, Progressive",C23.888.592.636.447.690
Surgical Wound Dehiscence,C23.550.767.887
Surgical Wound Infection,C01.947.692
Surgical Wound Infection,C23.550.767.925
Swayback,C18.654.521.500.857
Swayback,C22.836.886
Sweat Gland Diseases,C17.800.946
Sweat Gland Neoplasms,C04.588.805.776
Sweat Gland Neoplasms,C17.800.882.743
Sweat Gland Neoplasms,C17.800.946.743
"Sweating, Gustatory",C10.177.825
"Sweating, Gustatory",C17.800.946.350.843
Swine Diseases,C22.905
Swine Erysipelas,C01.150.252.410.334.776
Swine Erysipelas,C22.331.693
Swine Erysipelas,C22.905.832
Swine Vesicular Disease,C01.925.782.687.359.855
Swine Vesicular Disease,C22.905.850
"Pathological Conditions, Signs and Symptoms",C23
Syncope,C10.597.606.358.800.600
Syncope,C23.888.592.604.359.800.600
Syndactyly,C05.116.099.370.894.819
Syndactyly,C05.660.585.800
Syndactyly,C05.660.906.819
Syndactyly,C16.131.621.585.800
Syndactyly,C16.131.621.906.819
Syndrome,C23.550.288.500
Synostosis,C05.116.099.370.894
Synostosis,C05.660.906
Synostosis,C16.131.621.906
Synovial Cyst,C04.182.867
"Sarcoma, Synovial",C04.557.450.565.835
"Sarcoma, Synovial",C04.557.450.795.875
Synovitis,C05.550.870
"Synovitis, Pigmented Villonodular",C04.557.450.565.380.690.500
"Synovitis, Pigmented Villonodular",C05.550.870.445.500
"Synovitis, Pigmented Villonodular",C05.651.869.762.500
Syphilis,C01.150.252.400.794.840.500
Syphilis,C01.150.252.400.840.500
Syphilis,C01.150.252.734.859
Syphilis,C01.221.812.281.859
Syphilis,C01.778.281.859
Syphilis,C12.100.937.281.859
"Syphilis, Cardiovascular",C01.150.252.400.794.840.500.875
"Syphilis, Cardiovascular",C01.150.252.400.840.500.875
"Syphilis, Cardiovascular",C01.190.500
"Syphilis, Cardiovascular",C14.260.500
"Syphilis, Congenital",C01.150.252.400.794.840.500.937
"Syphilis, Congenital",C01.150.252.400.840.500.937
"Syphilis, Congenital",C16.614.868
"Syphilis, Cutaneous",C01.150.252.400.794.840.500.968
"Syphilis, Cutaneous",C01.150.252.400.840.500.968
"Syphilis, Cutaneous",C01.150.252.819.790
"Syphilis, Cutaneous",C01.800.720.790
"Syphilis, Cutaneous",C17.800.838.765.790
"Syphilis, Latent",C01.150.252.400.794.840.500.984
"Syphilis, Latent",C01.150.252.400.840.500.984
"Syphilis, Latent",C01.550.750
Syringomyelia,C10.228.854.833
Tabes Dorsalis,C01.150.252.223.600.800
Tabes Dorsalis,C01.150.252.400.794.840.500.750.800
Tabes Dorsalis,C01.150.252.400.840.500.750.800
Tabes Dorsalis,C01.207.180.600.800
Tabes Dorsalis,C10.228.228.180.600.800
Tabes Dorsalis,C10.228.854.889
Tachycardia,C14.280.067.845
Tachycardia,C14.280.123.875
Tachycardia,C23.550.073.845
"Tachycardia, Atrioventricular Nodal Reentry",C14.280.067.845.787.249
"Tachycardia, Atrioventricular Nodal Reentry",C14.280.123.875.787.249
"Tachycardia, Atrioventricular Nodal Reentry",C23.550.073.845.787.500
"Tachycardia, Ectopic Atrial",C14.280.067.845.880.315
"Tachycardia, Ectopic Atrial",C14.280.123.875.880.315
"Tachycardia, Ectopic Atrial",C23.550.073.845.880.315
"Tachycardia, Ectopic Junctional",C14.280.067.845.880.320
"Tachycardia, Ectopic Junctional",C14.280.123.875.880.320
"Tachycardia, Ectopic Junctional",C23.550.073.845.880.320
"Tachycardia, Paroxysmal",C14.280.067.845.695
"Tachycardia, Paroxysmal",C14.280.123.875.695
"Tachycardia, Paroxysmal",C23.550.073.845.695
"Tachycardia, Sinoatrial Nodal Reentry",C14.280.067.845.787.500
"Tachycardia, Sinoatrial Nodal Reentry",C14.280.123.875.787.500
"Tachycardia, Sinoatrial Nodal Reentry",C23.550.073.845.787.750
"Tachycardia, Sinus",C14.280.067.845.880.845
"Tachycardia, Sinus",C14.280.123.875.880.845
"Tachycardia, Sinus",C23.550.073.845.880.845
"Tachycardia, Supraventricular",C14.280.067.845.880
"Tachycardia, Supraventricular",C14.280.123.875.880
"Tachycardia, Supraventricular",C23.550.073.845.880
Taeniasis,C01.610.335.190.902
Takayasu Arteritis,C14.907.109.239.650
Takayasu Arteritis,C14.907.940.090.800
Takayasu Arteritis,C17.800.862.875
Tangier Disease,C10.668.829.800.875
Tangier Disease,C16.320.565.398.500.330.750
Tangier Disease,C18.452.584.500.875.330.750
Tangier Disease,C18.452.584.563.500.330.750
Tangier Disease,C18.452.648.398.500.330.750
Tarsal Tunnel Syndrome,C10.668.829.500.700.800
Tarsal Tunnel Syndrome,C10.668.829.550.800
Taste Disorders,C10.597.751.861
Taste Disorders,C23.888.592.763.861
Tay-Sachs Disease,C10.228.140.163.100.435.825.300.300.500
Tay-Sachs Disease,C16.320.565.189.435.825.300.300.500
Tay-Sachs Disease,C16.320.565.398.641.803.350.300.850
Tay-Sachs Disease,C16.320.565.595.554.825.300.300.840
Tay-Sachs Disease,C18.452.132.100.435.825.300.300.500
Tay-Sachs Disease,C18.452.584.563.641.803.350.300.850
Tay-Sachs Disease,C18.452.648.189.435.825.300.300.500
Tay-Sachs Disease,C18.452.648.398.641.803.350.300.850
Tay-Sachs Disease,C18.452.648.595.554.825.300.300.840
"Telangiectasia, Hereditary Hemorrhagic",C14.907.454.900
"Telangiectasia, Hereditary Hemorrhagic",C14.907.823.780
"Telangiectasia, Hereditary Hemorrhagic",C15.378.463.515.900
"Telangiectasia, Hereditary Hemorrhagic",C16.131.240.850.968
Telangiectasis,C14.907.823
Giant Cell Arteritis,C10.114.875.700
Giant Cell Arteritis,C10.228.140.300.850.500
Giant Cell Arteritis,C14.907.253.946.700
Giant Cell Arteritis,C14.907.940.090.530
Giant Cell Arteritis,C14.907.940.907.700
Giant Cell Arteritis,C17.800.862.252
Giant Cell Arteritis,C20.111.258.962.800
Temporomandibular Joint Disorders,C05.500.607.221.897
Temporomandibular Joint Disorders,C05.550.905
Temporomandibular Joint Disorders,C05.651.243.897
Temporomandibular Joint Disorders,C07.320.610.291.897
Temporomandibular Joint Disorders,C07.678
Temporomandibular Joint Dysfunction Syndrome,C05.500.607.221.897.897
Temporomandibular Joint Dysfunction Syndrome,C05.550.905.905
Temporomandibular Joint Dysfunction Syndrome,C05.651.243.897.897
Temporomandibular Joint Dysfunction Syndrome,C05.651.550.905
Temporomandibular Joint Dysfunction Syndrome,C07.320.610.291.897.897
Temporomandibular Joint Dysfunction Syndrome,C07.678.949
Tendon Injuries,C26.874
Tennis Elbow,C05.651.869.435.500
Tennis Elbow,C26.088.134.750
Tennis Elbow,C26.874.800.500.500
Tenosynovitis,C05.651.869.870
Teratoma,C04.557.465.910
Testicular Diseases,C12.100.500.829
Testicular Diseases,C12.200.294.829
Testicular Diseases,C19.391.829
Androgen-Insensitivity Syndrome,C12.050.351.875.253.096.500
Androgen-Insensitivity Syndrome,C12.200.706.316.096.500
Androgen-Insensitivity Syndrome,C12.800.316.096.500
Androgen-Insensitivity Syndrome,C16.131.939.316.096.500
Androgen-Insensitivity Syndrome,C16.320.322.061
Androgen-Insensitivity Syndrome,C19.391.119.096.500
Testicular Neoplasms,C04.588.322.762
Testicular Neoplasms,C04.588.945.440.915
Testicular Neoplasms,C12.100.500.260.937
Testicular Neoplasms,C12.200.294.260.937
Testicular Neoplasms,C12.200.758.409.937
Testicular Neoplasms,C12.900.619.937
Testicular Neoplasms,C19.344.762
Testicular Neoplasms,C19.391.829.782
Tetanus,C01.150.252.410.222.864
Tetany,C10.597.613.875
Tetany,C18.452.174.509.700
Tetany,C23.888.592.608.875
Tetralogy of Fallot,C14.240.400.849
Tetralogy of Fallot,C14.280.400.849
Tetralogy of Fallot,C16.131.240.400.849
Thalamic Diseases,C10.228.140.915
Thalassemia,C15.378.050.141.150.875
Thalassemia,C15.378.420.826
Thalassemia,C16.320.070.875
Thalassemia,C16.320.365.826
Thanatophoric Dysplasia,C05.116.099.343.110.500
Thanatophoric Dysplasia,C05.116.099.708.017.500
Thanatophoric Dysplasia,C05.660.585.984
Thanatophoric Dysplasia,C16.131.621.585.984
Thanatophoric Dysplasia,C16.320.240.500.500
Thanatophoric Dysplasia,C16.614.890
Thecoma,C04.557.475.750.875
Thecoma,C04.588.322.455.765
Thecoma,C12.050.351.500.056.630.705.765
Thecoma,C12.050.351.937.418.685.765
Thecoma,C12.100.250.056.630.705.765
Thecoma,C12.900.418.685.765
Thecoma,C19.344.410.765
Thecoma,C19.391.630.705.765
Theileriasis,C01.610.701.688.735
Theileriasis,C01.610.752.625.735
Theileriasis,C01.610.752.750
Theileriasis,C01.920.930.915
Theileriasis,C22.196.831
Theileriasis,C22.674.710.735
Thiamine Deficiency,C18.654.521.500.133.699.827
Thinness,C23.888.144.828
Thoracic Diseases,C08.846
Thoracic Injuries,C26.891
Thoracic Neoplasms,C04.588.894
Thoracic Outlet Syndrome,C10.668.829.550.850
Thoracic Outlet Syndrome,C14.907.863
Thrombasthenia,C15.378.100.100.820
Thrombasthenia,C15.378.140.810
Thrombasthenia,C15.378.463.810
Thrombasthenia,C16.320.099.820
Thromboangiitis Obliterans,C14.907.137.870
Thromboangiitis Obliterans,C14.907.940.905
"Thrombocythemia, Essential",C15.378.100.832
"Thrombocythemia, Essential",C15.378.140.860.800
"Thrombocythemia, Essential",C15.378.190.636.860.800
"Thrombocythemia, Essential",C15.378.463.825
Thrombocytopenia,C15.378.140.855
Thrombocytopenia,C15.378.243.937
Thrombocytosis,C15.378.140.860
Thrombocytosis,C15.378.190.636.860
Thromboembolism,C14.907.355.590
Thrombophlebitis,C14.907.355.830.925.770
Thrombophlebitis,C14.907.617.718.788
Thrombophlebitis,C14.907.940.740.910
Thrombosis,C14.907.355.830
Thymoma,C04.557.435.850
Thymoma,C04.588.894.949.500
Thymoma,C15.604.861.800
Thymus Hyperplasia,C15.604.816
Thymus Neoplasms,C04.588.894.949
Thymus Neoplasms,C15.604.861
Thyroglossal Cyst,C04.182.902
Thyroid Crisis,C19.874.397.685.905
Thyroid Diseases,C19.874
Thyroid Neoplasms,C04.588.322.894
Thyroid Neoplasms,C04.588.443.915
Thyroid Neoplasms,C19.344.894
Thyroid Neoplasms,C19.874.788
Thyroiditis,C19.874.871
"Thyroiditis, Autoimmune",C19.874.871.102
"Thyroiditis, Autoimmune",C20.111.809
"Thyroiditis, Subacute",C19.874.871.900
"Thyroiditis, Suppurative",C01.830.840
"Thyroiditis, Suppurative",C19.874.871.910
Thyrotoxicosis,C19.874.397.685
Tibial Fractures,C26.404.875
Tibial Fractures,C26.558.857
Tic Disorders,C10.228.662.825
Tick Infestations,C01.610.858.211.857
Tick Paralysis,C25.723.127.789.500.707
Tick Toxicoses,C25.723.127.789.500
Tietze's Syndrome,C05.182.790
Tietze's Syndrome,C17.300.182.790
Tinea,C01.150.703.302.720
Tinea,C01.800.200.720
Tinea,C17.800.838.208.883
Tinea Capitis,C01.150.703.302.720.730
Tinea Capitis,C01.800.200.720.730
Tinea Capitis,C17.800.738.708
Tinea Capitis,C17.800.838.208.883.558
Tinea Favosa,C01.150.703.302.720.730.740
Tinea Favosa,C01.800.200.720.730.740
Tinea Favosa,C17.800.738.708.708
Tinea Favosa,C17.800.838.208.883.558.708
Tinea Pedis,C01.150.703.302.720.760
Tinea Pedis,C01.800.200.720.760
Tinea Pedis,C17.800.321.125.500
Tinea Pedis,C17.800.838.208.883.658
Tinea Pedis,C23.888.885.625.500
Onychomycosis,C01.150.703.302.720.550
Onychomycosis,C01.800.200.720.550
Onychomycosis,C17.800.529.550
Onychomycosis,C17.800.838.208.883.458
Tinea Versicolor,C01.150.703.302.860
Tinea Versicolor,C01.800.200.860
Tinea Versicolor,C17.800.838.208.941
Tinnitus,C09.218.458.670
Tinnitus,C10.597.751.418.670
Tinnitus,C23.888.592.763.393.670
Tobacco Use Disorder,C25.775.912
Togaviridae Infections,C01.925.782.930
Tongue Diseases,C07.465.910
Tongue Neoplasms,C04.588.443.591.925
Tongue Neoplasms,C07.465.530.925
Tongue Neoplasms,C07.465.910.470
"Tongue, Fissured",C07.465.910.708
"Tongue, Hairy",C07.465.910.791
Tonsillar Neoplasms,C04.588.443.665.710.684.800
Tonsillar Neoplasms,C07.550.745.671.800
Tonsillar Neoplasms,C09.647.710.685.800
Tonsillar Neoplasms,C09.775.549.685.800
Tonsillitis,C01.748.561.750
Tonsillitis,C07.550.781.750
Tonsillitis,C08.730.561.750
Tonsillitis,C09.775.649.750
Tooth Abnormalities,C07.650.800
Tooth Abnormalities,C07.793.700
Tooth Abnormalities,C16.131.850.800
Tooth Abrasion,C07.793.818.124
Tooth Discoloration,C07.793.735
Tooth Diseases,C07.793
Tooth Erosion,C07.793.720.605
Tooth Erosion,C07.793.818.500
"Tooth Eruption, Ectopic",C07.793.790
Tooth Fractures,C07.793.850.750
Tooth Fractures,C26.900.750
Tooth Avulsion,C07.793.850.725
Tooth Avulsion,C26.900.725
Tooth Migration,C07.465.714.836
Tooth Mobility,C07.465.714.898
Tooth Resorption,C07.793.901
"Tooth, Impacted",C07.793.905
"Tooth, Supernumerary",C07.650.800.850
"Tooth, Supernumerary",C07.793.700.850
"Tooth, Supernumerary",C16.131.850.800.850
"Tooth, Unerupted",C07.793.915
Toothache,C07.793.929
Toothache,C23.888.592.612.330.500
Torsion Abnormality,C23.300.970
Torticollis,C23.888.592.350.300.800
Toxemia,C01.861
Toxocariasis,C01.610.335.349.868
Toxocariasis,C01.610.335.508.700.100.868
Toxocariasis,C01.610.701.377.868
Toxocariasis,C22.674.377.868
Toxoplasmosis,C01.610.752.250.800
"Toxoplasmosis, Animal",C01.610.701.688.817
"Toxoplasmosis, Animal",C01.610.752.250.800.110
"Toxoplasmosis, Animal",C01.610.752.625.817
"Toxoplasmosis, Animal",C22.674.710.817
"Toxoplasmosis, Congenital",C01.207.205.300.900
"Toxoplasmosis, Congenital",C01.610.752.250.800.445
"Toxoplasmosis, Congenital",C10.228.228.205.300.900
"Toxoplasmosis, Congenital",C16.614.909
"Toxoplasmosis, Ocular",C01.610.300.781
"Toxoplasmosis, Ocular",C01.610.752.250.800.640
"Toxoplasmosis, Ocular",C11.294.725.781
Tracheal Diseases,C08.907
Tracheal Neoplasms,C04.588.443.925
Tracheal Neoplasms,C04.588.894.797.760
Tracheal Neoplasms,C08.785.760
Tracheal Neoplasms,C08.907.563
Tracheal Stenosis,C08.907.663
Tracheitis,C01.748.848
Tracheitis,C08.730.848
Tracheitis,C08.907.763
Tracheobronchomegaly,C08.127.930
Tracheobronchomegaly,C08.695.830
Tracheobronchomegaly,C08.907.830
Tracheobronchomegaly,C16.131.740.830
Tracheoesophageal Fistula,C06.267.250.725
Tracheoesophageal Fistula,C06.405.117.367.725
Tracheoesophageal Fistula,C08.702.750
Tracheoesophageal Fistula,C08.907.863
Tracheoesophageal Fistula,C23.300.575.185.250.725
Trachoma,C01.150.252.289.225.800
Trachoma,C01.150.252.400.210.125.745
Trachoma,C01.375.354.220.800
Trachoma,C11.187.183.220.889
Trachoma,C11.204.813
Trachoma,C11.294.354.220.800
"Translocation, Genetic",C23.550.210.870
Transposition of Great Vessels,C14.240.400.915
Transposition of Great Vessels,C14.280.400.915
Transposition of Great Vessels,C16.131.240.400.915
Trematode Infections,C01.610.335.865
Tremor,C10.597.350.850
Tremor,C23.888.592.350.850
Trench Fever,C01.150.252.400.126.100.800
Treponemal Infections,C01.150.252.400.794.840
Treponemal Infections,C01.150.252.400.840
Trichinellosis,C01.610.335.508.100.275.882
Trichomonas Infections,C01.610.752.890
Trichomonas Vaginitis,C01.610.752.890.633
Trichomonas Vaginitis,C12.050.351.500.894.906.633
Trichomonas Vaginitis,C12.100.250.894.906.633
Trichostrongyloidiasis,C01.610.335.508.700.775.825
Trichostrongylosis,C01.610.335.508.700.775.825.842
Trichuriasis,C01.610.335.508.100.275.895
Tricuspid Valve Insufficiency,C14.280.484.856
Tricuspid Valve Prolapse,C14.280.484.400.875
Tricuspid Valve Stenosis,C14.280.484.911
